Serial Number,Start Time,End Time,Text,Layer ID
1,00:00:04:06,00:00:06:16,こんにちは、クリスと申します。,1
2,00:00:06:16,00:00:14:00,今日はDrupalDEN岩国でスペシャルトークをすることになり、光栄です。,1
3,00:00:14:00,00:00:18:27,00:00:18:27,1
4,00:00:19:09,00:00:23:00,リニューアルされたウェブサイトを発表します。,1
5,00:00:24:14,00:00:30:01,英語で技術的な内容を発表した方がやりやすいのですが、,1
6,00:00:30:22,00:00:38:14,それでも後で日本語でお話しして、ご意見をいただくのが楽しみです。,1
7,00:00:41:18,00:00:44:04,こんにちは、クリスと申します,1
8,00:00:44:08,00:00:46:19,本日、DrupalDEN岩国で特別講演を,1
9,00:00:46:19,00:00:49:00,させていただくことを光栄に思います。,1
10,00:00:49:19,00:00:51:23,本学OISTでは,1
11,00:00:51:29,00:00:55:13,Drupal 7のリリース初年度の2011年にサイトを構築しました。,1
12,00:00:55:18,00:00:58:00,サイトを構築しました。,1
13,00:00:58:16,00:01:02:24,Drupal 7はすべてのDrupalのバージョンの中で最も長い寿命を持ち、,1
14,00:01:03:00,00:01:07:12,プラットフォームに大きな変化をもたらしました。,1
15,00:01:07:28,00:01:09:10,これらの変更の1つは、,1
16,00:01:09:10,00:01:14:01,Content TypeのエンティティフィールドとしてCCKが統合され、,1
17,00:01:14:19,00:01:17:24,テスト駆動開発をコアに導入しました。,1
18,00:01:17:26,00:01:22:14,さらに、ImageCacheはImage Styleに生まれ変わりました。,1
19,00:01:22:25,00:01:23:27,昨年、,1
20,00:01:24:05,00:01:27:04,私たちはDrupal 9を使用して,1
21,00:01:27:04,00:01:30:04,ウェブサイトを再構築するための2年間の旅を経験しました。,1
22,00:01:31:18,00:01:32:27,講演の前半では、,1
23,00:01:32:27,00:01:36:22,Webサイトの再構築の際に行った開発と,1
24,00:01:36:22,00:01:39:28,プロジェクト管理のプロセスについて説明します。,1
25,00:01:40:22,00:01:42:17,第二部では,1
26,00:01:42:23,00:01:48:16,英語と日本語のバイリンガルに向けたウェブサイトのローカライズで,1
27,00:01:48:18,00:01:52:10,直面した課題について、より深く掘り下げます。,1
28,00:01:53:01,00:01:57:22,また、単なる翻訳にとどまらず、どのような問題に直面したのか。,1
29,00:01:57:22,00:02:01:19,どのように対処し、ユーザーに最高のユーザーエクスペリエンスを,1
30,00:02:01:19,00:02:03:14,提供したかをお話しします。,1
31,00:02:05:29,00:02:06:25,まず、,1
32,00:02:06:26,00:02:08:26,僕のことを少しご紹介します。,1
33,00:02:09:04,00:02:13:24,私はDrupalの開発者で、14年の経験があります。,1
34,00:02:15:00,00:02:16:27,繁体字中国語、日本語、英語での,1
35,00:02:16:27,00:02:22:27,ウェブデザインと開発の経験が豊富です。,1
36,00:02:23:05,00:02:25:18,Drupalコミュニティのメンバーでもあり、,1
37,00:02:25:18,00:02:29:22,台湾の元グループリーダーでもあります。,1
38,00:02:30:10,00:02:31:11,Drupal以外では、,1
39,00:02:31:11,00:02:35:17,コーヒー、ドイツ、猫に興味があり、,1
40,00:02:35:17,00:02:39:01,これらのトピックについての会話も歓迎します。,1
41,00:02:39:28,00:02:41:21,本題に入る前に,1
